127.0.0.1, 2015-07-05 19:12:08, GET, /admin/default/index, HTTP/1.1, 200, 0.262706
127.0.0.1, 2015-07-05 19:12:08, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001451
127.0.0.1, 2015-07-05 19:12:08, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001178
127.0.0.1, 2015-07-05 19:12:08, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003034
127.0.0.1, 2015-07-05 19:12:08, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.004722
127.0.0.1, 2015-07-05 19:12:08, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.000770
127.0.0.1, 2015-07-05 19:12:08, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000862
127.0.0.1, 2015-07-05 19:12:08, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000739
127.0.0.1, 2015-07-05 19:12:08, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 200, 0.001160
127.0.0.1, 2015-07-05 19:12:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000568
127.0.0.1, 2015-07-05 19:12:12, POST, /admin/default/index, HTTP/1.1, 303, 0.102042
127.0.0.1, 2015-07-05 19:12:12, GET, /admin/default/site, HTTP/1.1, 200, 0.122792
127.0.0.1, 2015-07-05 19:12:13, GET, /admin/static/_2.11.2/images/folder_locked.png, HTTP/1.1, 200, 0.000708
127.0.0.1, 2015-07-05 19:12:13, GET, /admin/static/_2.11.2/images/folder.png, HTTP/1.1, 200, 0.000608
127.0.0.1, 2015-07-05 19:12:13, GET, /admin/static/_2.11.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000683
127.0.0.1, 2015-07-05 19:12:13, POST, /admin/default/check_version, HTTP/1.1, 200, 0.246633
127.0.0.1, 2015-07-05 19:12:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000587
127.0.0.1, 2015-07-05 19:13:54, POST, /admin/default/site, HTTP/1.1, 303, 0.295263
127.0.0.1, 2015-07-05 19:13:54, GET, /admin/default/design/test1, HTTP/1.1, 200, 0.440408
127.0.0.1, 2015-07-05 19:13:55, GET, /admin/static/_2.11.2/images/search.png, HTTP/1.1, 200, 0.001273
127.0.0.1, 2015-07-05 19:13:55, GET, /admin/static/_2.11.2/images/help.png, HTTP/1.1, 200, 0.000955
127.0.0.1, 2015-07-05 19:13:55, GET, /admin/static/_2.11.2/images/delete_icon.png, HTTP/1.1, 200, 0.001204
127.0.0.1, 2015-07-05 19:13:55, GET, /admin/static/_2.11.2/images/test_icon.png, HTTP/1.1, 200, 0.000685
127.0.0.1, 2015-07-05 19:13:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000829
127.0.0.1, 2015-07-05 19:14:00, GET, /admin/default/site, HTTP/1.1, 200, 0.105382
127.0.0.1, 2015-07-05 19:14:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000521
127.0.0.1, 2015-07-05 19:14:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000385
127.0.0.1, 2015-07-05 19:14:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000630
127.0.0.1, 2015-07-05 19:14:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000458
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/default/index, HTTP/1.1, 200, 0.696029
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001023
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000837
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/css/calendar.css, HTTP/1.1, 200, 0.000580
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/js/jquery.js, HTTP/1.1, 200, 0.000848
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000824
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000733
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/js/calendar.js, HTTP/1.1, 200, 0.001030
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/js/web2py.js, HTTP/1.1, 200, 0.000808
127.0.0.1, 2015-07-05 19:14:04, GET, /test1/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001066
